"region","prefecture","commune","densite_etab_100km2","completude_offre","jardins_100_primaires","toilettes_100_etab","pct_toilettes_ameliorees","pct_batiments_recents","batiments_par_etab","pct_terrain_sport","biblio_100_etab","ens_100_jardins","enseignants_100_etab"
"Centrale","Blitta","Blitta 1",-0.362481595206698,0.0924500327042061,0.703776031178787,2.33361073758056,-0.986766941910294,-0.424269799462823,0.0240338291679517,-0.188051579428512,0,0.291393716336588,0.765761086264769
"Centrale","Blitta","Blitta 2",-0.373404667852097,0.0924500327042061,0.22274738979725,1.35007184518282,-0.567586052031506,0.192192687496733,0.349628967474836,0.520640396507374,0,0.291393716336588,0.688138211424876
"Centrale","Blitta","Blitta 3",-0.391913207612356,0.0924500327042061,0.42317599037289,-0.967166382979382,0.0984458063314571,0.751309826832144,-0.567957331390019,-0.456865777197297,0,0.292718233229027,0.632077246262732
"Centrale","Mô","Mô 1",-0.404656792365322,0.0924500327042061,0.251380047022342,0.22234924081055,0.722559575706541,1.5254720197581,-0.419959541250526,0.520640396507374,0,-0.238413040639026,0.0714675946412874
"Centrale","Mô","Mô 2",-0.399195256042622,0.0924500327042061,0.0566779778917195,0.72699223272143,-0.888958067605243,1.46812667213395,-0.508758215334222,1.44112537674594,0,-0.238413040639026,0.0714675946412874
"Centrale","Sotouboua","Sotouboua 1",-0.377955948121013,0.0924500327042061,1.02446179209981,-0.163857130549818,-0.190323251140597,-1.21993649774783,0.0240338291679517,0.659120437782203,0,1.20133682144221,2.05516328499409
"Centrale","Sotouboua","Sotouboua 2",-0.377955948121013,0.0924500327042061,0.864118911639299,0.562210847607673,-0.465119612283358,0.0846701607014615,-0.123963960971541,0.65097455300133,0,1.20001230454977,1.87404324370101
"Centrale","Sotouboua","Sotouboua 3",-0.380383297597769,0.0924500327042061,0.365910675922707,0.551912011038063,-1.47115374799245,-0.338251778026606,0.0536333871958503,1.27006179634762,0,1.20133682144221,1.56355174434144
"Centrale","Tchamba","Tchamba 1",-0.374011505221286,0.0924500327042061,-1.07144871677688,0.742440487575845,-0.721285711653728,0.658123636942909,0.556825873670126,0.137783811806378,0,1.1774955173783,0.166339997223378
"Centrale","Tchamba","Tchamba 2",-0.394340557089112,0.0924500327042061,-1.83880393040934,0.139958548253671,-0.721285711653728,0.830159679815343,1.41521305647918,1.00124759857884,0,1.18279358494806,-0.648700188595491
